epoch,train/loss,val/loss,learning_rate,train/time,val/time,train/confmaps/bill_end,train/confmaps/bill_base,train/confmaps/back,train/confmaps/tail,train/confmaps/neck_base
0,,0.00036834643105976284,,,,,,,,
0,,0.0004261504509486258,,,,,,,,
1,0.00042257545283064246,0.0004190205945633352,9.999999747378752e-05,139.02340698242188,15.37194538116455,0.0002501198905520141,0.0004078990896232426,3.962179471272975e-05,0.000848886149469763,0.0005663504707626998
2,0.00044309900840744376,0.00039940810529515147,9.999999747378752e-05,121.32560729980469,12.988511085510254,0.0002353629533899948,0.00044883761438541114,3.7657238863175735e-05,0.0008926809532567859,0.0006009563221596181
3,0.000437195849372074,0.0004026575479656458,9.999999747378752e-05,115.73468017578125,13.41854476928711,0.0002607802744023502,0.000433921639341861,3.958304296247661e-05,0.0008740734192542732,0.0005776207544840872
4,0.0004251851059962064,0.00039845253922976553,9.999999747378752e-05,115.68594360351562,13.526839256286621,0.00023948350280988961,0.00041784823406487703,3.641031798906624e-05,0.0008557342807762325,0.0005764493835158646
5,0.00042302929796278477,0.00042448111344128847,9.999999747378752e-05,114.07405090332031,13.450251579284668,0.00024220588966272771,0.0004211890045553446,3.666402699309401e-05,0.0008594162645749748,0.0005556715186685324
6,0.0004210385668557137,0.00038259883876889944,9.999999747378752e-05,114.645263671875,13.17101001739502,0.0002328334958292544,0.00042953071533702314,3.077533619944006e-05,0.0008554230444133282,0.000556630315259099
7,0.00040643149986863136,0.0003805902088060975,9.999999747378752e-05,116.11479949951172,13.355718612670898,0.00022722937865182757,0.00040256339707411826,3.392447979422286e-05,0.0008082283311523497,0.0005602116580121219
8,0.00042787735583260655,0.00038839958142489195,9.999999747378752e-05,116.52876281738281,13.964700698852539,0.0002401831152383238,0.0004258757398929447,3.7481975596165285e-05,0.000871340511366725,0.0005645051714964211
9,0.0004137558862566948,0.00040775135857984424,9.999999747378752e-05,114.19233703613281,13.47116756439209,0.00022166766575537622,0.0004066243418492377,3.0139501177472994e-05,0.0008479550597257912,0.0005623929901048541
10,0.0004034646844957024,0.0004004448710475117,9.999999747378752e-05,115.55175018310547,13.342443466186523,0.0002312686701770872,0.0004046120448037982,3.3853924833238125e-05,0.0007994698244147003,0.0005481193074956536
11,0.00041095277993008494,0.00037863256875425577,9.999999747378752e-05,116.16741943359375,13.80986213684082,0.00023478361254092306,0.0003912105748895556,3.5414534067967907e-05,0.000825311173684895,0.0005680437898263335
12,0.00040866935160011053,0.0003851531946565956,9.999999747378752e-05,116.40304565429688,13.825851440429688,0.00022804326727055013,0.0003939508169423789,3.6586654459824786e-05,0.0008381940424442291,0.0005465720314532518
13,0.000397627183701843,0.0003770294424612075,9.999999747378752e-05,116.28475952148438,13.257628440856934,0.00022330236970447004,0.00038319139275699854,3.4692377084866166e-05,0.0007977334316819906,0.0005492165219038725
14,0.00039657115121372044,0.00037415706901811063,9.999999747378752e-05,114.79399108886719,13.492204666137695,0.00021327818103600293,0.00038371756090782583,3.138671308988705e-05,0.0007864116341806948,0.0005680617177858949
15,0.00039360098890028894,0.000374455499695614,9.999999747378752e-05,115.69390869140625,13.65031909942627,0.0002153149398509413,0.00039184835623018444,3.265430132159963e-05,0.0007994210463948548,0.0005287662497721612
16,0.0003894896653946489,0.0003754283534362912,9.999999747378752e-05,114.88897705078125,13.089402198791504,0.00020521048281807452,0.0003638186608441174,3.249328437959775e-05,0.0008010328747332096,0.0005448930314742029
17,0.0003975726431235671,0.00038521381793543696,9.999999747378752e-05,116.94709014892578,13.704267501831055,0.00024469607160426676,0.00038195241359062493,3.265439590904862e-05,0.0007990820449776947,0.0005294785369187593
18,0.00038996885996311903,0.0003766859299503267,9.999999747378752e-05,115.5291976928711,13.48796558380127,0.00020833215967286378,0.0003752148477360606,2.8564585591084324e-05,0.0007911492139101028,0.0005465834983624518
19,0.00038549452438019216,0.0003867688647005707,9.999999747378752e-05,115.03982543945312,13.359119415283203,0.00019819586304947734,0.00036565621849149466,3.140883200103417e-05,0.0007689145277254283,0.0005632975953631103
