epoch,train/loss,val/loss,learning_rate,train/time,val/time
0,,9.849925118032843e-05,,,
0,,0.0003036445705220103,,,
1,0.00037894645356573164,0.0003520362079143524,9.999999747378752e-05,575.0923461914062,62.06372833251953
2,0.00033690204145386815,0.0004335702979005873,9.999999747378752e-05,565.0463256835938,59.76587677001953
3,0.00038602924905717373,0.0003469338407739997,9.999999747378752e-05,560.0074462890625,59.27602005004883
4,0.0003422015579417348,0.00029967326554469764,9.999999747378752e-05,560.0337524414062,60.49803924560547
5,0.0004471175489015877,0.0002591440861579031,9.999999747378752e-05,533.710205078125,59.65523910522461
6,0.00032507520518265665,0.00029483274556696415,9.999999747378752e-05,555.51904296875,59.7360954284668
7,0.00034725331352092326,0.000286074384348467,9.999999747378752e-05,559.17041015625,60.055809020996094
8,0.00034170824801549315,0.0002778372436296195,9.999999747378752e-05,560.4702758789062,59.38737869262695
9,0.00030176015570759773,0.0003178689512424171,9.999999747378752e-05,560.7659301757812,59.76755142211914
10,0.0003342758573126048,0.0002537854597903788,9.999999747378752e-05,559.8759155273438,59.58000564575195
11,0.0003312012122478336,0.00024763232795521617,9.999999747378752e-05,560.7328491210938,59.81747817993164
12,0.00029416181496344507,0.0002623770560603589,9.999999747378752e-05,560.0051879882812,59.627685546875
13,0.00027941729058511555,0.0002628100337460637,9.999999747378752e-05,560.1076049804688,60.00480651855469
14,0.00030472473008558154,0.00023230623628478497,9.999999747378752e-05,564.5098876953125,60.3367919921875
15,0.0003138318716082722,0.00031153697636909783,9.999999747378752e-05,572.3533935546875,62.92100524902344
16,0.00031289050821214914,0.0003196294419467449,9.999999747378752e-05,573.1101684570312,60.9727668762207
17,0.0003653404419310391,0.00024463352747261524,9.999999747378752e-05,573.9072265625,60.17700958251953
18,0.0003331865300424397,0.0002818712673615664,9.999999747378752e-05,567.0360107421875,61.488739013671875
19,0.0002457137161400169,0.00022947795514483005,9.999999747378752e-05,582.6292114257812,62.91211700439453
20,0.0003176734026055783,0.00025787396589294076,9.999999747378752e-05,581.1226196289062,62.14223098754883
21,0.00025768784689716995,0.00023975811200216413,9.999999747378752e-05,560.5927734375,59.27852249145508
22,0.0002780220238491893,0.00023193933884613216,9.999999747378752e-05,567.3395385742188,61.73108673095703
23,0.0002881829859688878,0.00032509388984180987,9.999999747378752e-05,577.4312744140625,60.319393157958984
24,0.0002722580684348941,0.00046682904940098524,9.999999747378752e-05,585.6030883789062,62.60395050048828
25,0.0002562690060585737,0.00021813972853124142,9.999999747378752e-05,580.5677490234375,61.83563995361328
26,0.000322398089338094,0.0002751656575128436,9.999999747378752e-05,577.20703125,62.35492706298828
27,0.0002581063308753073,0.00030855872319079936,9.999999747378752e-05,572.107421875,61.2800407409668
28,0.0002951332717202604,0.00027284675161354244,9.999999747378752e-05,568.0692138671875,60.99243927001953
29,0.0002817766217049211,0.00025162333622574806,9.999999747378752e-05,569.4851684570312,60.9422721862793
30,0.0002560585562605411,0.00021076510893180966,9.999999747378752e-05,566.9063720703125,60.92941665649414
31,0.0002496022789273411,0.00023653099196963012,9.999999747378752e-05,566.3145751953125,60.4120979309082
32,0.0002606731140986085,0.00022263599385041744,9.999999747378752e-05,566.2864990234375,60.30952453613281
33,0.0002482332056388259,0.00033161535975523293,9.999999747378752e-05,566.582763671875,60.11625289916992
34,0.00026973889907822013,0.00024274364113807678,9.999999747378752e-05,564.4335327148438,60.32463455200195
35,0.00030366837745532393,0.00025857772561721504,9.999999747378752e-05,563.5021362304688,60.367942810058594
36,0.0002706147497519851,0.0002264305658172816,9.999999747378752e-05,567.1262817382812,60.0347900390625
37,0.00022829863883089274,0.00025319072301499546,9.999999747378752e-05,560.8761596679688,59.92589569091797
38,0.00019508659897837788,0.00020452959870453924,4.999999873689376e-05,560.951171875,59.44069290161133
39,0.0002327003312529996,0.00021936085249762982,4.999999873689376e-05,563.7496948242188,60.02764892578125
40,0.0002216202556155622,0.0002121478464687243,4.999999873689376e-05,563.2574462890625,60.71644973754883
41,0.0001952955062733963,0.0001922233059303835,4.999999873689376e-05,567.25732421875,60.720882415771484
42,0.00019241268455516547,0.0001983172696782276,4.999999873689376e-05,568.1767578125,60.580223083496094
43,0.00021996884606778622,0.00020707955991383642,4.999999873689376e-05,566.7052001953125,60.14301300048828
44,0.0001980175293283537,0.00018674535385798663,4.999999873689376e-05,564.0017700195312,59.60643005371094
45,0.0002063692081719637,0.0002146949409507215,4.999999873689376e-05,565.3690795898438,59.81947708129883
46,0.00017146978643722832,0.0001949272700585425,4.999999873689376e-05,564.5186767578125,60.21856689453125
47,0.00020772515563294291,0.0002007137518376112,4.999999873689376e-05,567.0496826171875,60.39881134033203
48,0.0001957053755177185,0.00019043506472371519,4.999999873689376e-05,562.9783325195312,60.11262512207031
49,0.0002059996477328241,0.0002495746302884072,4.999999873689376e-05,566.439697265625,60.16934585571289
50,0.00018920986622106284,0.00026120920665562153,4.999999873689376e-05,566.3370971679688,60.582054138183594
51,0.00022586005798075348,0.0001622251729713753,4.999999873689376e-05,567.4592895507812,60.45203399658203
52,0.00018644763622432947,0.00017383976955898106,2.499999936844688e-05,569.6558837890625,60.96560287475586
